Code departement,Code postal,Commune
2,2200,VAUXBUIN
2,2400,AZY SUR MARNE
2,2580,ETREAUPONT
2,2870,FOURDRAIN
2,2680,CONTESCOURT
2,2220,CUIRY HOUSSE
2,2600,FAVEROLLES
2,2330,COURBOIN
2,2490,VERMAND
2,2210,PARCY ET TIGNY
2,2120,VADENCOURT
2,2760,FRANCILLY SELENCY
2,2110,FIEULAINE
2,2110,AISONVILLE ET BERNOVILLE
2,2110,RIBEAUVILLE
2,2340,VINCY REUIL ET MAGNY
2,2850,COURTEMONT VARENNES
2,2650,FOSSOY
2,2420,BELLICOURT
2,2880,CHIVRES VAL
2,2120,MACQUIGNY
2,2200,PERNANT
2,2250,LA NEUVILLE BOSMONT
2,2140,SAINT PIERRE LES FRANQUEVILLE
2,2160,PAISSY
2,2400,CHIERRY
2,2400,BOURESCHES
2,2250,CILLY
2,2250,MONTIGNY SOUS MARLE
2,2210,VIERZY
2,2000,MONAMPTEUIL
2,2500,BEAUME
2,2140,LANDOUZY LA VILLE
2,2850,JAULGONNE
2,2210,OULCHY LA VILLE
2,2210,GRAND ROZOY
2,2360,GRANDRIEUX
2,2400,LUCY LE BOCAGE
2,2120,PROIX
2,2400,CHARTEVES
2,2200,ROZIERES SUR CRISE
2,2140,LE SOURD
2,2880,BUCY LE LONG
2,2400,GLAND
2,2110,FONTAINE NOTRE DAME
2,2400,EPIEDS
2,2270,CHEVRESIS MONCEAU
2,2100,ESSIGNY LE PETIT
2,2820,AIZELLES
2,2400,NESLES LA MONTAGNE
2,2600,LARGNY SUR AUTOMNE
2,2880,TERNY SORNY
2,2210,BEUGNEUX
2,2250,ERLON
2,2140,HARY
2,2420,JONCOURT
2,2220,MONT NOTRE DAME
2,2290,FONTENOY
2,2130,ARCY-SAINTE-RESTITUE
2,2200,BILLY SUR AISNE
2,2810,GANDELU
2,2130,SERINGES ET NESLES
2,2140,LEME
2,2130,GOUSSANCOURT
2,2760,HOLNON
2,2290,BERNY RIVIERE
2,2680,DALLON
2,2160,MEURIVAL
2,2110,SEBONCOURT
2,2220,MAAST ET VIOLAINE
2,2120,CHIGNY
2,2630,PETIT VERLY
2,2720,HOMBLIERES
2,2120,MALZY
2,2120,LANDIFAY ET BERTAIGNEMONT
2,2160,BOUFFIGNEREUX
2,2800,VENDEUIL
2,2130,CIERGES
2,2130,SERGY
2,2350,MACHECOURT
2,2330,CONNIGIS
2,2330,PARGNY LA DHUYS
2,2120,WIEGE FATY
2,2240,MEZIERES SUR OISE
2,2860,TRUCY
2,2220,CYS LA COMMUNE
2,2000,CHEVREGNY
2,2580,SORBAIS
2,2130,FRESNES-EN-TARDENOIS
2,2450,DORENGT
2,2550,ORIGNY-EN-THIERACHE
2,2400,MONT-SAINT-PERE
2,2140,FRANQUEVILLE
2,2200,PASLY
2,2200,SACONIN ET BREUIL
2,2290,MORSAIN
2,2220,BAZOCHES SUR VESLES
2,2140,JEANTES
2,2320,PREMONTRE
2,2220,PAARS
2,2360,CHERY LES ROZOY
2,2590,ETREILLERS
2,2390,MONT D ORIGNY
2,2260,ERLOY
2,2420,SEQUEHART
2,2880,VUILLERY
2,2420,LEHAUCOURT
2,2210,LE PLESSIER HULEU
2,2260,FROIDESTREES
2,2330,MONTLEVON
2,2450,LAVAQUERESSE
2,2850,REUILLY SAUVIGNY
2,2110,LA VALLEE MULATRE
2,2310,ROMENY-SUR-MARNE
2,2200,CHAUDUN
2,2000,MONTBAVIN
2,2200,MERCIN ET VAUX
2,2800,ANGUILCOURT LE SART
2,2240,BRISSAY CHOIGNY
